case_id,source_case_id,stratum,prefix_depth,condition_id,question_policy,budget,questions_used,usage_mode,canonical_run_id,initial_predicted_domain,final_predicted_domain,initial_correct,final_correct,truth_retention,rescued_from_wrong,initial_entropy,final_entropy,mean_information_gain,mean_entropy_reduction_per_question,harmful_question_rate,question_trace
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,information-gain,0,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,information-gain,1,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,information-gain,2,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,information-gain,3,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,top-domain,0,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,top-domain,1,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,top-domain,2,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,top-domain,3,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,random,0,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,random,1,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,random,2,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,clean-gold,random,3,0,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,package,1,1,1,0,0,0,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,information-gain,0,0,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,1.974,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,information-gain,1,1,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,0,1,1.974,0,package-dispatch:yes
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,information-gain,2,1,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,0,1,1.974,0,package-dispatch:yes
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,information-gain,3,1,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,0,1,1.974,0,package-dispatch:yes
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,top-domain,0,0,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,1.974,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,top-domain,1,1,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,0,1,1.974,0,package-dispatch:yes
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,top-domain,2,1,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,0,1,1.974,0,package-dispatch:yes
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,top-domain,3,1,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,0,1,1.974,0,package-dispatch:yes
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,random,0,0,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,1.974,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,random,1,1,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,0,1,1.974,0,package-tracking:yes
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,random,2,1,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,0,1,1.974,0,package-tracking:yes
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-noisy,random,3,1,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,0,1,1.974,0,package-tracking:yes
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-adversarial,information-gain,0,0,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,1.974,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-adversarial,information-gain,1,1,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,manuscript,1,0,0,0,1.974,1.792,1,0.182,1,package-dispatch:no
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-adversarial,information-gain,2,2,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,sample,1,0,0,0,1.974,1.98,0.979,-0.003,0.5,package-dispatch:no | manuscript-review:no
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-adversarial,information-gain,3,3,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,compliance,1,0,0,0,1.974,2,0.986,-0.009,0.333,package-dispatch:no | manuscript-review:no | sample-assay:no
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-adversarial,top-domain,0,0,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,package,1,1,1,0,1.974,1.974,0,0,0,
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-adversarial,top-domain,1,1,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,manuscript,1,0,0,0,1.974,1.792,1,0.182,1,package-dispatch:no
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-adversarial,top-domain,2,2,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,sample,1,0,0,0,1.974,1.98,0.979,-0.003,0.5,package-dispatch:no | manuscript-review:no
package-manifest__paraphrased,package-manifest,paraphrased,2,masked-adversarial,top-domain,3,3,canonical-cnl,package-manifest__paraphrased_masked_p2_rich,package,compliance,1,0,0,0,1.974,2,0.986,-0.009,0.333,package-dispatch:no | manuscript-review:no | sample-assay:no
