case_id,ground_truth_domain,prefix_depth,condition_id,usage_mode,canonical_run_id,cnl_line_count,update_cnl_line_count,lexical_domain,lexical_accuracy,single_theory_domain,single_theory_accuracy,frontier_top_domain,frontier_top_accuracy,resolved_accuracy,frontier_retains_truth,frontier_domains,question_id,gold_answer,information_gain,question_top_domain_after,question_top_accuracy_after,rescued_by_question,domain_entropy_before,domain_entropy_after,canonical_families
package-routing,package,2,clean,canonical-cnl,package-routing_clean_p2_rich,387,,package,1,package,1,package,1,1,1,package:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
package-routing,package,2,masked,canonical-cnl,package-routing_masked_p2_rich,442,418,manuscript,0,package,1,package,1,1,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,yes,0.912,package,1,0,1.239,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-routing,package,3,clean,canonical-cnl,package-routing_clean_p3_rich,415,,package,1,package,1,package,1,1,1,package:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
package-routing,package,3,masked,canonical-cnl,package-routing_masked_p3_rich,442,418,manuscript,0,package,1,package,1,1,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,yes,0.912,package,1,0,1.239,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-generic,package,2,clean,canonical-cnl,package-generic_clean_p2_rich,422,398,manuscript,0,package,1,package,1,1,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,yes,0.912,package,1,0,1.239,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-generic,package,2,masked,canonical-cnl,package-generic_masked_p2_rich,422,398,manuscript,0,package,1,package,1,1,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,yes,0.912,package,1,0,1.239,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-generic,package,3,clean,canonical-cnl,package-generic_clean_p3_rich,422,398,manuscript,0,package,1,package,1,1,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,yes,0.912,package,1,0,1.239,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-generic,package,3,masked,canonical-cnl,package-generic_masked_p3_rich,422,398,manuscript,0,package,1,package,1,1,1,package:0.673;manuscript:0.164;sample:0.164,package-dispatch,yes,0.912,package,1,0,1.239,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-barcode,package,2,clean,canonical-cnl,package-barcode_clean_p2_rich,375,,package,1,package,1,package,1,1,1,package:1,,,,,0,0,,,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT
package-barcode,package,2,masked,canonical-cnl,package-barcode_masked_p2_rich,409,386,manuscript,0,package,1,package,1,1,1,package:0.665;manuscript:0.168;sample:0.168,package-dispatch,yes,0.92,package,1,0,1.255,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
