case_id,source_case_id,stratum,prefix_depth,ground_truth_domain,benchmark_family,usage_mode,canonical_run_id,frontier_top_domain,frontier_top_confidence,frontier_top_accuracy,frontier_retention_truth,ground_truth_rank,single_theory_domain,single_theory_accuracy,cue_vote_domain,cue_vote_confidence,cue_vote_accuracy,naive_bayes_domain,naive_bayes_confidence,naive_bayes_accuracy,domain_entropy,frontier_width,question_available,premature_collapse
package-manifest__controlled,package-manifest,controlled,1,package,core,canonical-cnl,package-manifest__controlled_clean_p1_rich,package,0.512,1,1,1,package,1,compliance,0.143,0,sample,0.329,0,1.974,8,1,0
package-manifest__controlled,package-manifest,controlled,2,package,core,canonical-cnl,package-manifest__controlled_clean_p2_rich,package,1,1,1,1,package,1,package,1,1,sample,0.489,0,0,4,0,0
package-manifest__controlled,package-manifest,controlled,3,package,core,canonical-cnl,package-manifest__controlled_clean_p3_rich,package,1,1,1,1,package,1,package,1,1,package,0.964,1,0,4,0,0
package-manifest__controlled,package-manifest,controlled,4,package,core,canonical-cnl,package-manifest__controlled_clean_p4_rich,package,1,1,1,1,package,1,package,1,1,package,0.999,1,0,4,0,0
package-manifest__paraphrased,package-manifest,paraphrased,1,package,core,canonical-cnl,package-manifest__paraphrased_clean_p1_rich,package,0.512,1,1,1,package,1,compliance,0.143,0,manuscript,0.19,0,1.974,8,1,0
package-manifest__paraphrased,package-manifest,paraphrased,2,package,core,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,package,1,1,1,1,package,1,package,1,1,sample,0.307,0,0,4,0,0
package-manifest__paraphrased,package-manifest,paraphrased,3,package,core,canonical-cnl,package-manifest__paraphrased_clean_p3_rich,package,1,1,1,1,package,1,package,1,1,package,0.934,1,0,4,0,0
package-manifest__paraphrased,package-manifest,paraphrased,4,package,core,canonical-cnl,package-manifest__paraphrased_clean_p4_rich,package,1,1,1,1,package,1,package,1,1,package,0.999,1,0,4,0,0
package-manifest__noisy,package-manifest,noisy,1,package,core,canonical-cnl,package-manifest__noisy_clean_p1_rich,package,0.512,1,1,1,package,1,compliance,0.143,0,sample,0.329,0,1.974,8,1,0
package-manifest__noisy,package-manifest,noisy,2,package,core,canonical-cnl,package-manifest__noisy_clean_p2_rich,package,1,1,1,1,package,1,package,1,1,sample,0.601,0,0,4,0,0
