case_id,condition_id,question_policy,budget,prefix_depth,step_index,question_id,observed_answer,information_gain,predicted_domain_before,predicted_domain_after,domain_entropy_before,domain_entropy_after,entropy_reduction,truth_retained_after,final_correct_after_step
package-manifest__paraphrased,masked-noisy,information-gain,1,2,1,package-dispatch,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__paraphrased,masked-noisy,information-gain,2,2,1,package-dispatch,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__paraphrased,masked-noisy,information-gain,3,2,1,package-dispatch,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__paraphrased,masked-noisy,top-domain,1,2,1,package-dispatch,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__paraphrased,masked-noisy,top-domain,2,2,1,package-dispatch,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__paraphrased,masked-noisy,top-domain,3,2,1,package-dispatch,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__paraphrased,masked-noisy,random,1,2,1,package-tracking,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__paraphrased,masked-noisy,random,2,2,1,package-tracking,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__paraphrased,masked-noisy,random,3,2,1,package-tracking,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__paraphrased,masked-adversarial,information-gain,1,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__paraphrased,masked-adversarial,information-gain,2,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__paraphrased,masked-adversarial,information-gain,2,2,2,manuscript-review,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__paraphrased,masked-adversarial,information-gain,3,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__paraphrased,masked-adversarial,information-gain,3,2,2,manuscript-review,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__paraphrased,masked-adversarial,information-gain,3,2,3,sample-assay,no,1,sample,compliance,1.98,2,-0.02,0,0
package-manifest__paraphrased,masked-adversarial,top-domain,1,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__paraphrased,masked-adversarial,top-domain,2,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__paraphrased,masked-adversarial,top-domain,2,2,2,manuscript-review,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__paraphrased,masked-adversarial,top-domain,3,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__paraphrased,masked-adversarial,top-domain,3,2,2,manuscript-review,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__paraphrased,masked-adversarial,top-domain,3,2,3,sample-assay,no,1,sample,compliance,1.98,2,-0.02,0,0
package-manifest__paraphrased,masked-adversarial,random,1,2,1,manuscript-revision,yes,0.555,package,manuscript,1.974,0.943,1.031,1,0
package-manifest__paraphrased,masked-adversarial,random,2,2,1,manuscript-revision,yes,0.555,package,manuscript,1.974,0.943,1.031,1,0
package-manifest__paraphrased,masked-adversarial,random,2,2,2,package-dispatch,no,0.943,manuscript,manuscript,0.943,0.406,0.537,1,0
package-manifest__paraphrased,masked-adversarial,random,3,2,1,manuscript-revision,yes,0.555,package,manuscript,1.974,0.943,1.031,1,0
package-manifest__paraphrased,masked-adversarial,random,3,2,2,package-dispatch,no,0.943,manuscript,manuscript,0.943,0.406,0.537,1,0
package-manifest__paraphrased,masked-adversarial,random,3,2,3,package-tracking,yes,0.406,manuscript,manuscript,0.406,0.985,-0.579,1,0
package-manifest__noisy,masked-noisy,information-gain,1,2,1,package-dispatch,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__noisy,masked-noisy,information-gain,2,2,1,package-dispatch,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__noisy,masked-noisy,information-gain,3,2,1,package-dispatch,yes,1,package,package,1.974,0,1.974,1,1
package-manifest__noisy,masked-noisy,top-domain,1,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-noisy,top-domain,2,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-noisy,top-domain,2,2,2,manuscript-review,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__noisy,masked-noisy,top-domain,3,2,1,package-dispatch,no,1,package,manuscript,1.974,1.792,0.182,0,0
package-manifest__noisy,masked-noisy,top-domain,3,2,2,manuscript-review,no,0.959,manuscript,sample,1.792,1.98,-0.188,0,0
package-manifest__noisy,masked-noisy,top-domain,3,2,3,sample-assay,no,1,sample,compliance,1.98,2,-0.02,0,0
package-manifest__noisy,masked-noisy,random,1,2,1,incident-root-cause,no,0.514,package,package,1.974,1.979,-0.006,1,1
package-manifest__noisy,masked-noisy,random,2,2,1,incident-root-cause,no,0.514,package,package,1.974,1.979,-0.006,1,1
package-manifest__noisy,masked-noisy,random,2,2,2,compliance-signoff,no,0.52,package,package,1.979,1.983,-0.004,1,1
package-manifest__noisy,masked-noisy,random,3,2,1,incident-root-cause,no,0.514,package,package,1.974,1.979,-0.006,1,1
package-manifest__noisy,masked-noisy,random,3,2,2,compliance-signoff,no,0.52,package,package,1.979,1.983,-0.004,1,1
package-manifest__noisy,masked-noisy,random,3,2,3,procurement-approval,no,0.524,package,package,1.983,1.656,0.327,1,1
